Address,C.Ostan,Tedad.a,Gender,Age,Savad,InEdu,Madrak,Faaliat,T.shaghel,n.t.s,T.O,S.Z,N.S,Masleh,oto,motor,do,radio,zabt,TV.S,TV.r,DVD,Pc,mobile,freeizer,yakhchal,yakhchal.f,gaz,jaro.b,m.lebas,charkh.kh,panke,cooler.a,cooler.g,m.zarf,microfer,ab.l,bargh,gaz.l,tel,internet,hamam,ashpazkhane,cooler.a.s,broodat.m,hararat.m,package,cooler.g.s,fazelab,sookht.p,sookht.g,sookht.ab,H_Khorakivadokhani,H_Noshidani,H_Pushak,H_Maskan,H_mobleman,H_behdasht,H_Hamlonaghl,H_Ertebatat,H_Tafrihat,H_Ghazayeamade,H_kalavakhadamat,D_Mozd,D_Azad,D_Motefaraghe,D_Yarane
10001000920,0,4,1,38,1,2,5,1,1,1,4,90,3,1,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,12799000,NA,2630000,5160000,1715000,700000,2250000,300000,870000,280000,4735000,NA,180000000,1800000,21840000
10001000923,0,3,1,35,1,2,6,1,1,1,3,80,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,7759000,NA,1480000,2892000,1480000,NA,380000,280000,400000,NA,996000,216000000,NA,NA,16380000
10001001010,0,3,1,66,1,2,4,3,NA,1,4,100,3,1,1,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,14672000,NA,1320000,7658000,4105000,650000,1300000,339000,NA,NA,2550000,NA,NA,420000000,16380000
10001001013,0,4,2,58,1,2,4,5,NA,1,4,110,3,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,14760000,NA,405000,8228000,2610000,910000,180000,280000,NA,NA,1730000,NA,NA,528000000,21840000
10001001015,0,3,1,85,1,2,2,3,1,1,4,95,3,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,4,14,24,8893000,NA,1000000,7537000,2020000,800000,150000,340000,NA,NA,890000,310000000,NA,250000000,16380000
10001001020,0,2,2,69,1,2,1,3,1,1,4,80,3,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,11723000,NA,370000,6239000,2420000,690000,700000,300000,250000,NA,985000,300280000,NA,240000000,10920000
10001001023,0,5,1,67,1,2,6,3,NA,1,4,90,3,1,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,16965000,NA,3850000,7274000,3380000,480000,2400000,600000,NA,NA,840000,NA,NA,370000000,27300000
10001001108,0,4,1,69,1,2,4,3,1,1,3,70,3,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,4,14,24,7305000,NA,NA,9034000,1070000,1320000,1050000,620000,NA,810000,1090000,60000000,NA,484000000,NA
10001001109,0,1,2,68,2,NA,NA,3,NA,3,3,100,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,8206500,NA,1100000,9177000,445000,2140000,320000,250000,NA,NA,380000,NA,NA,336000000,5460000
10001001114,0,3,1,80,1,2,4,3,NA,1,4,130,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,10972500,NA,1300000,10980000,780000,1320000,320000,550000,NA,NA,1110000,60000000,NA,264000000,NA
10001001116,0,4,1,40,1,2,4,1,1,1,4,120,3,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,4,14,24,13383000,NA,2210000,11010000,1480000,NA,1300000,650000,NA,240000,680000,418160008,NA,NA,21840000
10001001120,0,1,1,80,1,2,4,3,NA,1,3,140,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,10042500,NA,760000,12845000,290000,2820000,350000,200000,60000,150000,230000,NA,NA,420000000,5460000
10001001123,0,2,1,36,1,1,6,1,1,1,4,140,3,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,4,14,24,8700000,NA,3960000,8855000,1350000,NA,1000000,880000,1560000,520000,2150000,335880000,NA,NA,10920000
10001001207,0,2,1,85,2,NA,NA,3,NA,1,5,130,3,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,15515000,NA,NA,3205000,620000,1820000,500000,300000,NA,NA,290000,NA,NA,300000000,10920000
10001001212,0,4,1,41,1,2,2,1,2,1,3,87,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,8685000,NA,3740000,3140000,1150000,NA,300000,700000,890000,200000,1910000,471480004,NA,NA,21840000
10001001216,0,1,1,47,1,2,2,1,1,1,6,130,3,2,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,5935000,NA,2100000,5630000,750000,NA,700000,500000,NA,760000,430000,NA,312000000,NA,5460000
10001001217,0,2,1,67,2,NA,NA,3,NA,1,3,110,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,4,14,24,8677000,NA,500000,5200000,635000,1620000,220000,350000,NA,200000,560000,NA,NA,216000000,10920000
10001001220,0,2,1,39,1,2,2,1,2,1,3,120,3,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,10020000,NA,500000,5170000,1070000,1350000,1000000,500000,NA,500000,860000,273680008,324000000,NA,10920000
10001001223,0,3,1,70,2,NA,NA,3,1,1,6,300,3,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,22756000,3000000,NA,4060000,740000,1800000,900000,800000,NA,NA,600000,NA,323000000,300000000,16380000
10001001308,0,4,1,38,1,2,4,1,1,1,4,80,1,NA,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,4,14,24,13717000,NA,7400000,5783000,1565000,8900000,3500000,404000,600000,NA,1260000,370000000,NA,NA,21840000
